Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
2020-03-30,61.83704376220703,98.19750213623047,57.07068634033203,165.17152404785156,153.3687286376953,6.615376949310303,33.47533416748047
2020-03-31,61.710845947265625,97.48600006103516,57.86642074584961,166.01754760742188,150.95668029785156,6.565809726715088,34.93333435058594
2020-04-01,58.46380615234375,95.38500213623047,55.0203971862793,158.85133361816406,145.59646606445312,6.054444313049316,32.104000091552734
2020-04-02,59.439369201660156,95.94149780273438,55.777809143066406,157.44793701171875,148.61155700683594,6.363306522369385,30.29800033569336
2020-04-03,58.58513641357422,95.32949829101562,54.635223388671875,153.45675659179688,147.24278259277344,6.07536506652832,32.000667572021484
2020-04-06,63.695960998535156,99.87950134277344,59.06623840332031,164.7734375,158.19293212890625,6.685368537902832,34.41600036621094
2020-04-07,62.958221435546875,100.58000183105469,59.045833587646484,168.0380401611328,156.48915100097656,6.451977252960205,36.36333465576172
2020-04-08,64.56962585449219,102.1500015258789,60.22872543334961,173.4624481201172,158.05894470214844,6.649252414703369,36.589332580566406
2020-04-09,65.0355453491211,102.13800048828125,60.286949157714844,174.36819458007812,158.0684814453125,6.549618244171143,38.20000076293945
2020-04-13,66.31204223632812,108.44349670410156,60.59101104736328,173.97006225585938,158.4226531982422,6.721486568450928,43.39666748046875
2020-04-14,69.66100311279297,114.16600036621094,63.16233444213867,177.33421325683594,166.2619171142578,7.072692394256592,47.32600021362305
2020-04-15,69.02520751953125,115.38400268554688,62.825927734375,176.13986206054688,164.51988220214844,6.995227813720703,48.65533447265625
2020-04-16,69.57366180419922,120.40950012207031,62.875694274902344,175.42323303222656,169.4589080810547,7.340454578399658,49.680667877197266
2020-04-17,68.629638671875,118.75,63.86003112792969,178.39920043945312,170.95213317871094,7.281172752380371,50.259334564208984
2020-04-20,67.20508575439453,119.68049621582031,63.03195571899414,177.40391540527344,167.56370544433594,7.149907112121582,49.75733184814453
2020-04-21,65.12776184082031,116.40599822998047,60.530303955078125,169.99880981445312,160.63377380371094,6.713016986846924,45.781333923339844
2020-04-22,67.0036849975586,118.17449951171875,62.86275100708008,181.42494201660156,166.08966064453125,7.127490043640137,48.807334899902344
